alienacao_fiduciaria;avaliacao;bairro;categorias;cidade;construida;data;descricao;endereco;forma_pagamento;lance_inicial;lance_minimo;leilao;local_leilao;local_lote;lote;privativa;terreno;tipo;titulo;url;vistoria
;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Alienação Fiduciária - 1ª Praça;-;PIATÃ;Categorias:Imóveis;SALVADOR / BA;-;"Data:11/01/2018 - 14:00h";1º Leilão na forma da Lei 9.514/97. Salvador/BA. Bairro Piatã. Rua  Marcos Pinheiros, 69. Condomínio Residencial Reserva das Ilhas.  Edifício Itaparica - (T3 - Tipo D - TD). Ap. 1.302 (Tipo TD2-3Q), c/ 1 vagade garagem descoberta. Área priv. 70,710m². Matr. 48.982 do 7º RI  local. Obs.: Ocupado. (AF).  1º Leilão: 11/01/2018 às 14h. Lance mínimo: R$ 426.393,19  2º Leilão: 18/01/2018 às 14h. Lance mínimo: R$ 349.646,44 (caso  não seja arrematado no 1º leilão).;RUA MARCOS PINHEIROS, 69. CONDOMÍNIO RESIDENCIAL RESERVA DAS ILH;À vista;R$ 426.393,19;R$  426.393;Leilão:15097- BANCO BRADESCO S.A;Local do leilão:  Rod. Presidente Dutra, Km 224 - Guarulhos/SP;Local do lote: RUA MARCOS PINHEIROS, 69. CONDOMÍNIO RESIDENCIAL RESERVA DAS ILH;Lote:037 - (24131);70 m²;-;Apartamento;15097 - 037 - Apartamento - PIATÃ - SALVADOR - BA;http://www.sodresantoro.com.br/leilao/15097/lote/1782385/segmento/imoveis/pagina/4/;24131
;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Alienação Fiduciária - 1ª Praça;-;VILA SANTA RITA;Categorias:Imóveis;TRÊS LAGOAS / MS;82 m²;"Data:11/01/2018 - 14:00h";"1º Leilão na forma da Lei 9.514/97. Três Lagoas/MS. Bairro Vila Santa  Rita. Rua Marechal Deodoro da Fonseca, 372. Casa (lt. 5 da qd. 105).  Áreas totais: terr. 250,00m² e constr. 82,89m². Matr. 49.640 do RI local.Obs.: Numeração predial pendente de averbação no RI. Regularização e  encargos perante os órgãos competentes, correrão por conta do  comprador. Ocupada (AF).   	 1º Leilão: 11/01/2018 às 14h. Lance mínimo: R$ 362.407,77  2º Leilão: 18/01/2018 às 14h. Lance mínimo: R$ 136.691,18 (caso  não seja arrematado no 1º leilão).";RUA MARECHAL DEODORO DA FONSECA, 372.;À vista;R$ 362.407,77;R$  362.408;Leilão:15097- BANCO BRADESCO S.A;Local do leilão:  Rod. Presidente Dutra, Km 224 - Guarulhos/SP;Local do lote: RUA MARECHAL DEODORO DA FONSECA, 372.;Lote:034 - (24128);-;250 m²;Casa;15097 - 034 - Casa - VILA SANTA RITA - TRÊS LAGOAS - MS;http://www.sodresantoro.com.br/leilao/15097/lote/1782188/segmento/imoveis/pagina/4/;24128
;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Alienação Fiduciária - 1ª Praça;-;CENTRO;Categorias:Imóveis;ITAPEMA / SC;-;"Data:11/01/2018 - 14:00h";1º Leilão na forma da Lei 9.514/97. Itapema-SC.  1) Bairro Ilhota. Rua  109-N, s/n (zona 1). Condomínio Residencial Gaivotas. Bloco 2.  Ap.03.  Área priv. 94,17m². Matr. 12.049 do RI local. Obs.: Ocupado (AF).  2)Centro. Av. Nereu Ramos, 707. Edifício Império. Ap.301 (4º pav.) c/ 1 vaga  de garagem indeterminada. Área priv. estimada no local 110,00m²  (consta no RI 144,4599m²). Matr. 08.204 do RI local. Obs.: Ocupado  (AF). 3) Centro. Av. Nereu Ramos, 713 (consta no RI 707). Edifício  Império/Monarca. Bl. Monarca. Ap.202 c/ 1 vaga de garagem  indeterminada. Área priv. estimada no local 110,00m² (consta no RI  145,12m²). Matr. 03.266 do RI local. Obs.: Ocupado (AF). Obs.:  Regularização e encargos perante os órgãos competentes da  eventual divergência da área privativa que vier a ser apurada no  local, com a lançada no IPTU e averbada no RI, bem como  numeração predial pendente de averbação no RI, correrão por  conta do comprador. Consta ação revisional, processo nº  0304463-58.2017.8.24.0005, em trâmite na Vara Regional de Direito  Bancário de Balneário Camboriú/SC. O Vendedor responde pelo  resultado da ação, de acordo com os critérios e limites  estabelecidos nas Condições de Venda dos Imóveis constantes  do edital.  1º Leilão: 11/01/2018 às 14h. Lance mínimo: R$ 1.030.000,00  2º Leilão: 18/01/2018 às 14h. Lance mínimo: R$ 1.135.318,10 (caso  não seja arrematado no 1º leilão).;RUA 109-N - AV. NEREU RAMOS, 707 E 713;À vista;R$ 1.030.000;R$  1.030.000;Leilão:15097- BANCO BRADESCO S.A;Local do leilão:  Rod. Presidente Dutra, Km 224 - Guarulhos/SP;Local do lote: RUA 109-N - AV. NEREU RAMOS, 707 E 713;Lote:030 - (24124);94 m²;-;Apartamentos;15097 - 030 - Apartamentos - CENTRO - ITAPEMA - SC;http://www.sodresantoro.com.br/leilao/15097/lote/1782092/segmento/imoveis/pagina/4/;24124
;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Alienação Fiduciária - 1ª Praça;-;GLEBA VALÊNCIA;Categorias:Imóveis;ASTORGA / PR;340 m²;"Data:11/01/2018 - 14:00h";"1ª Leilão na forma da Lei 9.514/97. Astorga/PR. Gleba Valência. Rodovia  PR-218 / Rua Paschoal Fedrigo (lt. 1-A da qd. 2-B). Galpão. Áreas totais:  terr. 1.012,75m² e const. estimada no local 340,00m². Matr. 17.219 do 2ºRI local. Obs.: Construção pendente de averbação. Regularização e  encargos perante os órgãos competentes, correrão por conta do  comprador. Consta Ação Ordinária, processo nº 0010136- 91.2017.8.16.0017 em trâmite na 4ª Vara Cível da Comarca de  Maringá - PR. O Vendedor responde pelo resultado da ação, de  acordo com os critérios e limites estabelecidos nas Condições de  Venda dos Imóveis constantes do edital. Ocupado. (AF).     	 1º Leilão: 11/01/2018 às 14h. Lance mínimo: R$ 289.138,55  2º Leilão: 18/01/2018 às 14h. Lance mínimo: R$ 186.000,00 (caso  não seja arrematado no 1º leilão).";RODOVIA PR-218 / RUA PASCHOAL FEDRIGO (LT. 1-A DA QD. 2-B).;À vista;R$ 289.138,55;R$  289.139;Leilão:15097- BANCO BRADESCO S.A;Local do leilão:  Rod. Presidente Dutra, Km 224 - Guarulhos/SP;Local do lote: RODOVIA PR-218 / RUA PASCHOAL FEDRIGO (LT. 1-A DA QD. 2-B).;Lote:015 - (24108);-;1 m²;Galpão;15097 - 015 - Galpão - GLEBA VALÊNCIA - ASTORGA - PR;http://www.sodresantoro.com.br/leilao/15097/lote/1779426/segmento/imoveis/pagina/3/;24108
;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Alienação Fiduciária - 1ª Praça;-;ALVORADA;Categorias:Imóveis;CONTAGEM / MG;208 m²;"Data:11/01/2018 - 14:00h";1º Leilão na forma da Lei 9.514/97. Contagem/MG. Bairro Alvorada.  Avenida Padre Joaquim Martins, 280 (lt. 16 da qd. 17). Galpão Industrial.  Áreas totais: terr. 413,00m² (consta no IPTU 399,00m²) e constr. lançadano IPTU 208,40m². Matr. 28.005 do RI local. Obs.: Construção,  logradouro e numeração predial pendentes de averbação.  Regularização e encargos perante os órgãos competentes da  construção, logradouro, numeração predial e eventual divergência de  área total que vier a ser apurada no local, com a lançada no IPTU e  averbada no RI, correrão por conta do comprador. Ocupado (AF).  1º Leilão: 11/01/2018 às 14h. Lance mínimo: R$ 689.013,92  2º Leilão: 18/01/2018 às 14h. Lance mínimo: R$ 803.805,22 (caso  não seja arrematado no 1º leilão).;AVENIDA PADRE JOAQUIM MARTINS, 280 (LT. 16 DA QD. 17);À vista;R$ 689.013,92;R$  689.014;Leilão:15097- BANCO BRADESCO S.A;Local do leilão:  Rod. Presidente Dutra, Km 224 - Guarulhos/SP;Local do lote: AVENIDA PADRE JOAQUIM MARTINS, 280 (LT. 16 DA QD. 17);Lote:033 - (24127);-;413 m²;Galpão;15097 - 033 - Galpão - ALVORADA - CONTAGEM - MG;http://www.sodresantoro.com.br/leilao/15097/lote/1782114/segmento/imoveis/pagina/4/;24127
